Rk,GP,W,L,W-L%,G,GA,DIFF,CQF GP,CQF OT GP,CQF W-L%,CQF RS W-L%,CSF GP,CSF OT GP,CSF W-L%,CSF RS W-L%,CF GP,CF OT GP,CF W-L%,CF RS W-L%,F GP,F OT GP,F W-L%,F RS W-L%,ELITE F,ELITE D,ELITE GK,Champs,Year,AvAge,Exp
2,45,25,17,0.556,120,95,25,7,0,0.571,0.5,7,1,0.571,0.5,6,2,0.667,0.333,5,3,0.1,0.5,2.5,2.25,1,7,2014,27.4,5
3,38,21,16,0.553,109,105,4,6,4,0.667,0.4,6,1,0.667,0.4,7,2,0.429,1,0,0,0,0,2.25,1.5,0.75,6,2014,27.5,6
4,36,22,13,0.611,104,96,8,4,1,1,0.25,7,2,0.571,0.75,6,2,0.333,0.667,0,0,0,0,2.25,1.5,0.75,5,2014,28.3,1
5,33,22,7,0.667,97,62,35,5,1,0.8,0.25,7,2,0.429,0.25,0,0,0,0,0,0,0,0,0.25,0.75,0.75,4,2014,27.6,5
6,23,18,12,0.783,98,94,4,6,1,0.667,0.333,7,1,0.429,0.8,0,0,0,0,0,0,0,0,0.25,0,0,3,2014,28.3,1
7,34,17,14,0.5,86,89,-3,6,2,0.667,1,7,1,0.429,0.5,0,0,0,0,0,0,0,0,2.25,1.5,0.75,2,2014,27.7,4
8,33,15,13,0.455,88,87,1,7,4,0.571,0.2,6,1,0.333,0.6,0,0,0,0,0,0,0,0,0.25,2.25,0.75,1,2014,27.2,1
9,26,15,9,0.577,80,70,10,7,1,0.43,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2014,28.7,3
10,27,13,10,0.481,78,71,7,7,0,0.429,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,27.7,2
11,27,15,9,0.556,76,57,19,7,4,0.429,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2014,26.9,0
12,26,13,11,0.5,64,64,0,6,2,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2014,26.1,0
13,26,13,12,0.5,77,72,5,6,1,0.333,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2014,28.2,0
14,27,13,13,0.481,56,70,-14,6,4,0.333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2014,27.4,3
15,26,12,11,0.462,65,74,-9,5,1,0.2,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,2014,28.6,3
16,24,12,8,0.5,69,68,1,4,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,2014,27.1,0
1,42,27,14,0.643,114,99,15,6,2,0.667,1,4,0,1,0.6,7,3,0.571,0.667,6,0,0.667,0.5,6.75,3,0.75,8,2015,29.3,8
2,44,26,16,0.591,116,101,15,7,1,0.571,0.75,6,1,0.667,1,7,1,0.571,1,6,0,0.333,0.5,4.5,4.5,0.75,7,2015,26.9,1
3,34,22,12,0.647,104,91,13,4,1,1,1,5,2,0.8,0.6,7,3,0.429,0.333,0,0,0,0,4.25,3.75,0.75,6,2015,27,3
4,40,26,13,0.65,104,91,13,5,2,0.8,0.75,7,2,0.571,0.75,7,1,0.429,0,0,0,0,0,3.25,3.5,0.75,5,2015,29.4,6
5,32,18,13,0.563,78,72,6,7,2,0.571,0.5,7,2,0.429,0.25,0,0,0,0,0,0,0,0,1.5,2.25,1,4,2015,28.1,1
6,32,15,12,0.469,74,80,-6,6,2,0.667,0.25,6,1,0.333,0,0,0,0,0,0,0,0,0,0,3.25,0.75,3,2015,28.4,4
7,31,17,11,0.548,92,87,5,6,0,0.667,0.5,5,2,0.2,0.4,0,0,0,0,0,0,0,0,0,0.75,0,2,2015,28.2,0
8,30,17,12,0.567,77,66,11,6,0,0.667,0.5,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,1,1,2015,27.7,3
9,28,11,14,0.393,69,78,-9,7,1,0.429,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,28.9,3
10,25,9,11,0.36,62,63,-1,7,2,0.429,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,2015,27.3,1
11,28,18,7,0.643,76,72,4,6,2,0.333,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.25,0,2015,28.3,2
12,25,13,10,0.52,64,58,6,6,0,0.333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,29.4,2
13,26,14,10,0.538,74,72,2,6,0,0.333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,2015,28.4,1
14,25,8,14,0.32,62,75,-13,6,2,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,26.9,0
15,25,8,14,0.32,47,65,-18,5,2,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,29.5,5
16,22,11,10,0.5,59,53,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,27.3,0
1,46,33,13,0.717,157,101,56,5,0,0.8,0.75,6,3,0.667,0.6,7,2,0.571,0,6,2,0.667,0.5,4.75,4.75,0.75,8,2016,29,3
2,45,27,18,0.6,133,101,32,5,1,0.8,0.6,7,2,0.571,0.333,6,0,0.667,0.667,6,2,0.333,0.5,5.25,3.25,0.75,7,2016,29.1,1
3,37,21,15,0.568,102,91,11,5,0,0.8,0.5,5,2,0.8,0.333,7,2,0.429,1,0,0,0,0,2.25,3,1,6,2016,27.3,5
4,37,23,14,0.622,117,98,19,7,2,0.571,0.6,7,2,0.571,0.8,6,0,0.333,0.333,0,0,0,0,0.75,2.25,0.75,5,2016,28.9,2
5,32,19,10,0.594,98,91,7,6,1,0.667,0.2,7,2,0.429,0.2,0,0,0,0,0,0,0,0,0,1.5,0.75,4,2016,28.4,1
6,33,17,13,0.515,91,99,-8,7,0,0.571,0.667,7,2,0.429,0.667,0,0,0,0,0,0,0,0,1.5,3.75,1,3,2016,27.9,1
7,33,17,12,0.515,78,72,6,6,0,0.667,0.5,6,3,0.333,0.4,0,0,0,0,0,0,0,0,0,2.25,1,2,2016,27.9,2
8,33,17,13,0.515,86,97,-11,6,3,0.667,0.333,5,2,0.1,0.667,0,0,0,0,0,0,0,0,0.5,2.5,1,1,2016,28.6,1
9,25,11,10,0.44,75,73,2,7,2,0.429,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2016,27.4,8
10,28,15,10,0.536,82,61,21,7,0,0.429,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,2016,28.1,5
11,27,15,9,0.556,67,65,2,6,0,0.333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2016,29.2,1
12,26,14,11,0.538,81,72,9,6,3,0.333,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2016,28,0
13,25,12,12,0.48,66,68,-2,6,1,0.333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2016,28.7,4
14,25,11,11,0.44,68,80,-12,5,0,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,29.6,7
15,25,12,11,0.48,71,67,4,5,1,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2016,28.3,5
16,25,11,14,0.44,61,75,-14,5,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,28.3,2
1,46,28,15,0.609,144,117,27,5,1,0.8,0.5,7,1,0.571,0.5,7,2,0.571,0.333,6,0,0.667,0.5,6,3.75,1.5,8,2017,28.7,6
2,41,23,15,0.561,112,94,18,4,1,1,0.2,6,0,0.667,0.6,6,2,0.667,0.333,6,0,0.333,0.5,3.75,3,0.75,7,2017,27.9,4
3,40,22,14,0.55,96,99,-3,6,4,0.667,1,6,2,0.667,0.667,7,2,0.429,0.667,0,0,0,0,3.75,3.75,0.75,6,2017,28.8,1
4,36,24,9,0.667,110,90,20,4,1,1,0.8,7,2,0.571,0.4,6,2,0.333,0.667,0,0,0,0,2.25,3.75,0.75,5,2017,27.6,4
5,31,20,10,0.645,100,79,21,6,2,0.667,0.6,7,2,0.429,0.6,0,0,0,0,0,0,0,0,0.75,2.25,1,4,2017,26.7,0
6,33,20,12,0.606,91,84,7,6,5,0.667,0.667,7,1,0.429,0.5,0,0,0,0,0,0,0,0,0,3,1,3,2017,28.4,4
7,32,21,8,0.656,83,61,22,5,2,0.8,0.6,6,0,0.333,0.4,0,0,0,0,0,0,0,0,0,1.5,0.25,2,2017,28,4
8,31,14,13,0.452,83,80,3,6,2,0.667,0,6,2,0.333,0.333,0,0,0,0,0,0,0,0,0,3,0.75,1,2017,28.3,4
9,26,11,15,0.423,62,67,-5,6,2,0.333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,28.8,4
10,26,18,10,0.692,77,74,3,6,5,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,2017,28.8,0
11,25,13,11,0.52,71,60,11,6,4,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2017,29.6,0
12,24,14,9,0.583,59,51,8,6,2,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,26.2,2
13,26,9,15,0.346,65,72,-7,5,2,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,2017,26.2,3
14,26,12,12,0.462,63,69,-6,5,1,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2017,28.3,0
15,24,11,9,0.458,58,67,-9,4,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,29.4,6
16,22,11,11,0.5,63,57,6,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,28.4,2
